ROI identification, Peak-to-peak mean, Peak-to-peak 90th percentile, Peak-to-peak std. dev., Sum of absolute derivative mean, Sum of absolute derivative 90th percentile, Sum of absolute derivative std. dev.
pat153leftbulblongcont 20091007093219 Cycle0 MeshComponent0, 0.00059, 0.0013, 0.000498, 0.0569, 0.126, 0.0469
pat153leftbulblongcont 20091007093219 Cycle0 MeshComponent1, 0.00123, 0.00278, 0.00151, 0.111, 0.247, 0.131
pat153leftbulblongcont 20091007093219 Cycle1 MeshComponent0, 0.000557, 0.0013, 0.000558, 0.0538, 0.138, 0.0535
pat153leftbulblongcont 20091007093219 Cycle1 MeshComponent1, 0.00307, 0.00421, 0.00956, 0.273, 0.37, 0.817
pat153lefticalongcont 20091007093955 Cycle0 MeshComponent0, 0.00151, 0.00306, 0.00231, 0.145, 0.383, 0.231
pat153lefticalongcont 20091007093955 Cycle0 MeshComponent1, 0.00344, 0.00957, 0.00439, 0.294, 0.804, 0.368
pat153lefticalongcont 20091007093955 Cycle1 MeshComponent0, 0.00144, 0.00408, 0.00166, 0.128, 0.355, 0.142
pat153lefticalongcont 20091007093955 Cycle1 MeshComponent1, 0.00317, 0.00874, 0.00572, 0.268, 0.723, 0.473
pat153lefticalongcont 20091007094020 Cycle0 MeshComponent0, 0.002, 0.00513, 0.00211, 0.186, 0.511, 0.202
pat153lefticalongcont 20091007094020 Cycle0 MeshComponent1, 0.0106, 0.0269, 0.0272, 0.927, 2.4, 2.35
pat153lefticalongcont 20091007094020 Cycle1 MeshComponent0, 0.000804, 0.0016, 0.000869, 0.0703, 0.137, 0.0741
pat153lefticalongcont 20091007094020 Cycle1 MeshComponent1, 0.0019, 0.00481, 0.00183, 0.164, 0.403, 0.154
pat153rightbulblongcont 20091007085547 Cycle0 MeshComponent0, 0.0201, 0.0412, 0.0187, 1.76, 3.47, 1.55
pat153rightbulblongcont 20091007085547 Cycle0 MeshComponent1, 0.0244, 0.0825, 0.0352, 2.23, 7.53, 3.19
pat153rightbulblongcont 20091007085547 Cycle1 MeshComponent0, 0.0131, 0.0265, 0.0142, 1.09, 2.15, 1.16
pat153rightbulblongcont 20091007085547 Cycle1 MeshComponent1, 0.0197, 0.0849, 0.0332, 1.63, 7.03, 2.75
pat154lefticalongcont 20091019093212 Cycle0 MeshComponent0, 0.00179, 0.00516, 0.00182, 0.159, 0.461, 0.162
pat154lefticalongcont 20091019093212 Cycle0 MeshComponent1, 0.00901, 0.0187, 0.00644, 0.81, 1.61, 0.55
pat154lefticalongcont 20091019093212 Cycle1 MeshComponent0, 0.00178, 0.00354, 0.00145, 0.206, 0.394, 0.166
pat154lefticalongcont 20091019093212 Cycle1 MeshComponent1, 0.00769, 0.0197, 0.00802, 0.771, 1.94, 0.825
pat154rightbulblongcont 20091019090048 Cycle0 MeshComponent0, 0.00879, 0.0173, 0.00574, 0.901, 1.77, 0.587
pat154rightbulblongcont 20091019090048 Cycle0 MeshComponent1, 0.0247, 0.0572, 0.0233, 2.49, 5.47, 2.17
pat154rightbulblongcont 20091019090048 Cycle1 MeshComponent0, 0.0539, 0.116, 0.0471, 4.72, 10.1, 4.02
pat154rightbulblongcont 20091019090048 Cycle1 MeshComponent1, 0.176, 0.455, 0.189, 15.5, 39.2, 16.0
pat156leftbulblongcont 20100113095320 Cycle0 MeshComponent0, 0.0141, 0.0366, 0.014, 1.26, 3.22, 1.23
pat156leftbulblongcont 20100113095320 Cycle1 MeshComponent0, 0.0409, 0.101, 0.0403, 3.6, 8.72, 3.48
pat156lefticalongcont 20100113095826 Cycle0 MeshComponent0, 0.0311, 0.0834, 0.0306, 2.71, 7.11, 2.59
pat156lefticalongcont 20100113095826 Cycle0 MeshComponent1, 0.033, 0.0786, 0.0295, 3.13, 7.63, 2.88
pat156lefticalongcont 20100113095826 Cycle1 MeshComponent0, 0.00693, 0.0163, 0.00628, 0.661, 1.43, 0.526
pat156lefticalongcont 20100113095826 Cycle1 MeshComponent1, 0.0142, 0.0316, 0.0116, 1.26, 2.78, 1.01
pat156rightbulblongcont 20100113093433 Cycle0 MeshComponent0, 0.0357, 0.0987, 0.0462, 3.2, 8.87, 4.17
pat156rightbulblongcont 20100113093433 Cycle1 MeshComponent0, 0.0672, 0.168, 0.0863, 5.82, 14.3, 7.35
pat156righticalongcont 20100113094331 Cycle0 MeshComponent0, 0.115, 0.281, 0.24, 10.2, 25.4, 20.8
pat156righticalongcont 20100113094331 Cycle1 MeshComponent0, 0.0922, 0.235, 0.183, 8.21, 21.8, 15.8
pat157lefticalongcont 20100111092227 Cycle0 MeshComponent0, 0.0174, 0.0382, 0.0137, 1.61, 3.34, 1.15
pat157lefticalongcont 20100111092227 Cycle0 MeshComponent1, 0.0155, 0.0339, 0.0138, 1.4, 2.98, 1.18
pat157lefticalongcont 20100111092227 Cycle1 MeshComponent0, 0.017, 0.0404, 0.0159, 1.64, 3.42, 1.32
pat157lefticalongcont 20100111092227 Cycle1 MeshComponent1, 0.0138, 0.0274, 0.0123, 1.21, 2.32, 1.01
pat157rightbulblongcont 20100111085732 Cycle0 MeshComponent0, 0.0172, 0.0409, 0.0219, 1.59, 3.65, 2.0
pat157rightbulblongcont 20100111085732 Cycle0 MeshComponent1, 0.0204, 0.0484, 0.0283, 2.02, 4.92, 2.71
pat157rightbulblongcont 20100111085732 Cycle1 MeshComponent0, 0.0164, 0.0401, 0.0166, 1.46, 3.48, 1.42
pat157rightbulblongcont 20100111085732 Cycle1 MeshComponent1, 0.0448, 0.0879, 0.0472, 3.93, 7.36, 3.94
pat157righticalongcont 20100111090329 Cycle0 MeshComponent0, 0.0138, 0.0307, 0.0136, 1.18, 2.5, 1.1
pat157righticalongcont 20100111090329 Cycle0 MeshComponent1, 0.0479, 0.128, 0.0605, 4.11, 10.8, 5.09
pat157righticalongcont 20100111090329 Cycle1 MeshComponent0, 0.00982, 0.0176, 0.0126, 0.953, 1.6, 1.04
pat157righticalongcont 20100111090329 Cycle1 MeshComponent1, 0.0332, 0.0882, 0.0411, 3.04, 7.87, 3.66
pat158leftbulblongcont 20100315132656 Cycle0 MeshComponent0, 0.00863, 0.018, 0.00626, 0.604, 1.19, 0.408
pat158leftbulblongcont 20100315132656 Cycle0 MeshComponent1, 0.0652, 0.151, 0.0547, 4.36, 9.58, 3.36
pat158leftbulblongcont 20100315132656 Cycle0 MeshComponent2, 0.0183, 0.0395, 0.0159, 1.4, 2.82, 1.17
pat158leftbulblongcont 20100315132656 Cycle1 MeshComponent0, 0.00789, 0.0145, 0.00987, 0.601, 1.08, 0.664
pat158leftbulblongcont 20100315132656 Cycle1 MeshComponent1, 0.0446, 0.112, 0.0422, 3.21, 8.26, 2.99
pat158leftbulblongcont 20100315132656 Cycle1 MeshComponent2, 0.0247, 0.0489, 0.0163, 1.84, 3.48, 1.14
pat158lefticalongcont 20100315133214 Cycle0 MeshComponent0, 0.00846, 0.0177, 0.00766, 0.565, 1.19, 0.505
pat158lefticalongcont 20100315133214 Cycle0 MeshComponent1, 0.0323, 0.0512, 0.0161, 2.38, 3.66, 1.13
pat158lefticalongcont 20100315133214 Cycle1 MeshComponent0, 0.00441, 0.0109, 0.00607, 0.292, 0.71, 0.388
